åŸópé“ïÒèV,,,,,,,,(íPà :10â≠â~ÅA%)
Compensation of Employees,,,,,,,,"(Billion Yen, %)"
,ñºñ⁄,,,,é¿éøÅi2015óÔîNòAçΩâøäiÅj,,,
,Nominal,,,,Real (Chained (2015) Yen),,,
,å¥ånóÒ,,ãGêﬂí≤êÆånóÒ,,å¥ånóÒ,,ãGêﬂí≤êÆånóÒ,
,Original Series,,Seasonally Adjusted Series,,Original Series,,Seasonally Adjusted Series,
,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶
,Level,(*),Level,(**),Level,(*),Level,(**)
7- 9.,"66,927.9 ",3.0 ,"281,856.8 ",0.3 ,"66,364.1 ",2.0 ,"278,375.0 ",-0.1 
10-12.,"81,933.6 ",3.5 ,"283,584.6 ",0.6 ,"80,506.4 ",2.7 ,"280,620.1 ",0.8 
2019/ 1- 3.,"60,426.4 ",1.8 ,"283,381.4 ",-0.1 ,"59,907.1 ",1.6 ,"280,130.7 ",-0.2 
4- 6.,"74,693.2 ",2.1 ,"286,662.4 ",1.2 ,"73,514.1 ",1.4 ,"281,970.2 ",0.7 
7- 9.,"68,121.6 ",1.8 ,"287,092.7 ",0.2 ,"67,335.4 ",1.5 ,"282,432.9 ",0.2 
10-12.,"83,651.3 ",2.1 ,"289,584.3 ",0.9 ,"81,295.5 ",1.0 ,"283,814.7 ",0.5 
2020/ 1- 3.,"61,528.4 ",1.8 ,"288,498.1 ",-0.4 ,"60,298.5 ",0.7 ,"281,990.9 ",-0.6 
4- 6.,"73,014.9 ",-2.2 ,"280,140.7 ",-2.9 ,"71,354.5 ",-2.9 ,"273,316.3 ",-3.1 
7- 9.,"66,873.4 ",-1.8 ,"281,775.0 ",0.6 ,"65,613.5 ",-2.6 ,"275,082.7 ",0.6 
10-12.,"81,935.5 ",-2.1 ,"283,997.6 ",0.8 ,"79,968.7 ",-1.6 ,"279,803.0 ",1.7 
2021/ 1- 3.,"61,839.9 ",0.5 ,"289,475.4 ",1.9 ,"60,694.7 ",0.7 ,"283,370.2 ",1.3 
4- 6.,"75,123.7 ",2.9 ,"288,351.7 ",-0.4 ,"74,124.2 ",3.9 ,"283,818.7 ",0.2 
7- 9.,"68,420.3 ",2.3 ,"288,140.6 ",-0.1 ,"67,566.6 ",3.0 ,"283,074.6 ",-0.3 
10-12.,"82,720.5 ",1.0 ,"287,116.0 ",-0.4 ,"80,878.6 ",1.1 ,"283,650.0 ",0.2 
,,,,,,,,
(*) ëOîNìØä˙î‰Å@Year-over-Year Percent ChangeÅ@Å@(**) ëOä˙î‰Å@Quarter-to-Quarter Percent Change,,,,,,,,
