名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
4- 6.,"532,360.9 ","288,849.3 ","283,411.8 ","239,305.1 ","26,176.2 ","83,882.0 ","-2,507.4 ","92,486.5 ","35,970.3 ",-26.2 ,"7,530.1 ","57,279.1 ","49,749.1 ",,"7,454.0 ","10,780.0 ","3,326.0 ","539,814.9 ",,"524,830.9 ","396,400.2 ","128,430.6 ",,"146,028.6 ",,"534,894.4 ",,,,,,
7- 9.,"531,840.8 ","288,059.0 ","282,767.6 ","238,531.9 ","26,200.1 ","84,529.1 ","-1,501.5 ","93,047.6 ","35,718.2 ",-48.2 ,"5,836.4 ","55,945.4 ","50,109.0 ",,"7,593.7 ","11,061.1 ","3,467.4 ","539,434.5 ",,"526,004.3 ","397,286.7 ","128,717.6 ",,"146,447.4 ",,"533,390.5 ",,,,,,
10-12.,"531,686.1 ","286,398.2 ","281,101.6 ","236,746.5 ","25,872.2 ","84,158.5 ",348.7 ,"92,778.9 ","35,137.4 ",-158.1 ,"7,150.3 ","59,591.7 ","52,441.3 ",,"7,208.2 ","10,583.7 ","3,375.5 ","538,894.3 ",,"524,535.8 ","396,777.6 ","127,758.2 ",,"145,168.1 ",,"531,495.5 ",,,,,,
2003/ 1- 3.,"526,785.1 ","285,901.1 ","280,450.0 ","235,951.5 ","25,773.9 ","83,076.9 ",-252.5 ,"92,560.9 ","33,998.0 ",-68.6 ,"5,795.4 ","58,665.8 ","52,870.4 ",,"7,801.8 ","10,985.9 ","3,184.1 ","534,586.9 ",,"520,989.7 ","394,499.4 ","126,490.3 ",,"142,848.8 ",,"527,106.1 ",,,,,,
4- 6.,"531,417.5 ","286,070.5 ","280,430.5 ","235,746.9 ","25,811.8 ","83,612.9 ",-889.7 ,"94,216.3 ","34,045.2 ",73.0 ,"8,477.4 ","58,916.3 ","50,438.9 ",,"8,031.5 ","10,999.5 ","2,968.0 ","539,449.0 ",,"522,940.0 ","394,605.6 ","128,334.5 ",,"143,469.9 ",,"532,234.1 ",,,,,,
7- 9.,"530,989.5 ","285,818.5 ","280,058.5 ","235,185.2 ","26,359.4 ","81,470.9 ","1,558.6 ","93,784.2 ","33,159.3 ",-86.0 ,"8,924.6 ","60,545.0 ","51,620.4 ",,"9,531.0 ","12,391.5 ","2,860.5 ","540,520.5 ",,"522,064.9 ","395,207.4 ","126,857.5 ",,"140,989.6 ",,"529,517.0 ",,,,,,
10-12.,"532,357.8 ","288,108.6 ","282,309.2 ","237,301.9 ","25,999.5 ","84,104.1 ",-735.4 ,"92,517.6 ","32,367.8 ",-316.1 ,"10,311.6 ","61,936.1 ","51,624.5 ",,"8,474.1 ","11,201.9 ","2,727.8 ","540,831.9 ",,"522,046.2 ","397,476.8 ","124,569.4 ",,"142,471.4 ",,"533,409.3 ",,,,,,
2004/ 1- 3.,"534,932.7 ","288,233.7 ","282,484.4 ","237,244.9 ","26,443.9 ","83,501.4 ","2,510.4 ","93,060.6 ","30,898.3 ",-325.3 ,"10,609.6 ","64,864.9 ","54,255.3 ",,"9,488.7 ","12,197.6 ","2,708.9 ","544,421.4 ",,"524,323.1 ","400,689.4 ","123,633.7 ",,"140,843.7 ",,"532,747.6 ",,,,,,
4- 6.,"533,630.7 ","288,240.7 ","282,563.6 ","237,105.3 ","26,893.5 ","82,914.3 ",854.2 ,"93,192.9 ","30,753.2 ",96.9 ,"10,685.0 ","67,346.4 ","56,661.4 ",,"10,203.3 ","13,113.3 ","2,910.0 ","543,834.0 ",,"522,945.7 ","398,902.7 ","124,043.0 ",,"140,561.0 ",,"532,679.7 ",,,,,,
7- 9.,"535,940.7 ","289,668.1 ","284,024.7 ","238,361.9 ","26,998.1 ","83,571.3 ","1,899.3 ","93,579.0 ","30,261.1 ",89.1 ,"9,874.6 ","68,712.0 ","58,837.4 ",,"10,480.1 ","13,617.0 ","3,136.8 ","546,420.8 ",,"526,066.0 ","402,136.7 ","123,929.3 ",,"140,830.5 ",,"533,952.2 ",,,,,,
10-12.,"533,908.4 ","287,186.1 ","281,523.7 ","235,616.8 ","27,102.9 ","84,826.7 ","1,356.0 ","94,118.6 ","29,974.9 ",186.8 ,"9,156.4 ","69,567.3 ","60,410.9 ",,"10,925.3 ","14,240.2 ","3,314.8 ","544,833.7 ",,"524,752.0 ","400,471.7 ","124,280.3 ",,"141,904.6 ",,"532,365.6 ",,,,,,
2005/ 1- 3.,"534,439.3 ","288,802.0 ","283,083.8 ","236,974.7 ","26,655.6 ","86,884.3 ",939.9 ,"93,787.4 ","29,302.9 ",159.7 ,"7,907.6 ","68,319.1 ","60,411.5 ",,"10,426.8 ","14,361.1 ","3,934.3 ","544,866.1 ",,"526,531.7 ","403,281.8 ","123,249.9 ",,"142,842.8 ",,"533,339.7 ",,,,,,
