STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2016-04,,97.27836162999999,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2016-08,,98.35623821,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2017-04,,101.10482350000001,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2017-05,,100.94314201,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2017-08,,101.53597413,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2017-09,,102.18270008,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2017-10,,102.50606306,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2017-11,,103.04500135,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2018-01,,103.79951496,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2018-04,,105.25464834,,A,Normal value,0,Units,1,One,2015,
