cat01_code,cat01_name,cat02_code,cat02_name,value,unit
0502300,201312,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,102.6,
0502300,201312,4300003000,4300003000 <旧特掲>石油化学製品,98.6,
0502500,201401,1100000000,1100000000 製造工業,106,
0502500,201401,1101000000,1101000000 鉄鋼・非鉄金属工業,104.3,
0502500,201401,1101100000,1101100000 鉄鋼業,106.2,
0502500,201401,1101200000,1101200000 非鉄金属工業,100.3,
0502500,201401,1102000000,1102000000 金属製品工業,97.3,
0502500,201401,1103000000,1103000000 生産用機械工業,97.2,
0502500,201401,1104000000,1104000000 汎用・業務用機械工業,103.1,
0502500,201401,1105000000,1105000000 電子部品・デバイス工業,93.8,
0502500,201401,1106000000,1106000000 電気・情報通信機械工業,119.9,
0502500,201401,1106100000,1106100000 電気機械工業,111.3,
0502500,201401,1106200000,1106200000 情報通信機械工業,139.2,
0502500,201401,1107000000,1107000000 輸送機械工業,110.5,
0502500,201401,1108000000,1108000000 窯業・土石製品工業,104.1,
0502500,201401,1109000000,1109000000 化学工業,101.6,
0502500,201401,1111000000,1111000000 石油・石炭製品工業,96.5,
0502500,201401,1113000000,1113000000 パルプ・紙・紙加工品工業,104.5,
0502500,201401,1115000000,1115000000 その他工業,104.1,
0502500,201401,1115100000,1115100000 繊維工業,101.5,
0502500,201401,1115600000,1115600000 その他製品工業,106.2,
0502500,201401,4100100000,4100100000 機械工業,107.8,
0502500,201401,4100200000,4100200000 製造工業（除．機械工業）,102.7,
0502500,201401,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,99.9,
0502500,201401,4300001000,4300001000 <旧特掲>家庭用電気製品,113.3,
0502500,201401,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,110.8,
0502500,201401,4300003000,4300003000 <旧特掲>石油化学製品,100.5,
0502700,201402,1100000000,1100000000 製造工業,103.9,
0502700,201402,1101000000,1101000000 鉄鋼・非鉄金属工業,102.3,
0502700,201402,1101100000,1101100000 鉄鋼業,103.2,
0502700,201402,1101200000,1101200000 非鉄金属工業,100.4,
0502700,201402,1102000000,1102000000 金属製品工業,94.7,
0502700,201402,1103000000,1103000000 生産用機械工業,97.5,
0502700,201402,1104000000,1104000000 汎用・業務用機械工業,102.8,
0502700,201402,1105000000,1105000000 電子部品・デバイス工業,94.6,
0502700,201402,1106000000,1106000000 電気・情報通信機械工業,121.6,
0502700,201402,1106100000,1106100000 電気機械工業,113.6,
0502700,201402,1106200000,1106200000 情報通信機械工業,138.7,
0502700,201402,1107000000,1107000000 輸送機械工業,107.2,
0502700,201402,1108000000,1108000000 窯業・土石製品工業,102.5,
0502700,201402,1109000000,1109000000 化学工業,99.9,
0502700,201402,1111000000,1111000000 石油・石炭製品工業,94.7,
0502700,201402,1113000000,1113000000 パルプ・紙・紙加工品工業,101.8,
0502700,201402,1115000000,1115000000 その他工業,103.1,
0502700,201402,1115100000,1115100000 繊維工業,102.6,
0502700,201402,1115600000,1115600000 その他製品工業,103.4,
0502700,201402,4100100000,4100100000 機械工業,106,
0502700,201402,4100200000,4100200000 製造工業（除．機械工業）,100.9,
0502700,201402,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,99.7,
0502700,201402,4300001000,4300001000 <旧特掲>家庭用電気製品,113.5,
0502700,201402,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,107.4,
0502700,201402,4300003000,4300003000 <旧特掲>石油化学製品,98,
0502900,201403,1100000000,1100000000 製造工業,105,
0502900,201403,1101000000,1101000000 鉄鋼・非鉄金属工業,103.3,
0502900,201403,1101100000,1101100000 鉄鋼業,104.4,
