scenario,variable,year,quarter,value
1,M2CD,2020,2,0.71636847
1,M2CD,2020,3,0.79503785
1,M2CD,2020,4,0.85077974
1,BGVATGDPV,2018,1,-0.57897387
1,BGVATGDPV,2018,2,-0.50694602
1,BGVATGDPV,2018,3,-0.42949439
1,BGVATGDPV,2018,4,-0.36017186
1,BGVATGDPV,2019,1,-0.30904546
1,BGVATGDPV,2019,2,-0.3477271
1,BGVATGDPV,2019,3,-0.36253976
1,BGVATGDPV,2019,4,-0.36943363
1,BGVATGDPV,2020,1,-0.37972771
1,BGVATGDPV,2020,2,-0.26450894
1,BGVATGDPV,2020,3,-0.29021667
1,BGVATGDPV,2020,4,-0.30278386
1,SBGVATGDPV,2018,1,-2.14849159
1,SBGVATGDPV,2018,2,-2.20330603
1,SBGVATGDPV,2018,3,-2.34087176
1,SBGVATGDPV,2018,4,-2.38896878
1,SBGVATGDPV,2019,1,-2.41460776
1,SBGVATGDPV,2019,2,-2.46515928
1,SBGVATGDPV,2019,3,-2.46947194
1,SBGVATGDPV,2019,4,-2.52084621
1,SBGVATGDPV,2020,1,-2.51997435
1,SBGVATGDPV,2020,2,-2.82549794
1,SBGVATGDPV,2020,3,-2.78743376
1,SBGVATGDPV,2020,4,-2.77680642
1,BCVATGDPV,2018,1,-0.06199835
1,BCVATGDPV,2018,2,-0.08561846
1,BCVATGDPV,2018,3,-0.13729373
1,BCVATGDPV,2018,4,-0.17634523
1,BCVATGDPV,2019,1,-0.20469534
1,BCVATGDPV,2019,2,-0.22198972
1,BCVATGDPV,2019,3,-0.27334392
1,BCVATGDPV,2019,4,-0.32709205
1,BCVATGDPV,2020,1,-0.36114309
1,BCVATGDPV,2020,2,-0.37404104
1,BCVATGDPV,2020,3,-0.43902298
1,BCVATGDPV,2020,4,-0.45475834
1,KFP,2018,1,-0.00139719
1,KFP,2018,2,-0.00441134
1,KFP,2018,3,-0.0086623
1,KFP,2018,4,-0.01561317
1,KFP,2019,1,-0.02667951
1,KFP,2019,2,-0.04323296
1,KFP,2019,3,-0.06619473
1,KFP,2019,4,-0.09263013
1,KFP,2020,1,-0.12384544
1,KFP,2020,2,-0.15560216
1,KFP,2020,3,-0.18924153
1,KFP,2020,4,-0.22425065
1,KHP,2018,1,0.00130699
1,KHP,2018,2,0.00298489
1,KHP,2018,3,0.00605121
1,KHP,2018,4,0.01006099
1,KHP,2019,1,0.01467843
1,KHP,2019,2,0.02028417
1,KHP,2019,3,0.02604804
1,KHP,2019,4,0.03207232
1,KHP,2020,1,0.03748399
1,KHP,2020,2,0.0424706
1,KHP,2020,3,0.04700509
1,KHP,2020,4,0.05113786
1,KG,2018,1,0.1846507
1,KG,2018,2,0.36879551
1,KG,2018,3,0.5504179
1,KG,2018,4,0.73061255
1,KG,2019,1,0.90864755
1,KG,2019,2,1.08507432
1,KG,2019,3,1.25952165
1,KG,2019,4,1.42656518
1,KG,2020,1,1.59260237
1,KG,2020,2,1.74291445
1,KG,2020,3,1.90009517
1,KG,2020,4,2.058307
1,BCVATGDPV,2018,0,-0.11531394
1,BCVATGDPV,2019,0,-0.25678026
1,BCVATGDPV,2020,0,-0.40724136
1,BGVATGDPV,2018,0,-0.46889654
1,BGVATGDPV,2019,0,-0.34718648
1,BGVATGDPV,2020,0,-0.30930929
1,CG,2018,0,0.04658565
1,CG,2019,0,0.16649807
1,CG,2020,0,0.27910334
1,CGPI,2018,0,0.04419677
1,CGPI,2019,0,0.18609117
1,CGPI,2020,0,0.35940337
1,CGV,2018,0,0.05340389
1,CGV,2019,0,0.30126484
1,CGV,2020,0,0.65218628
1,CP,2018,0,0.23837575
1,CP,2019,0,0.50348432
1,CP,2020,0,0.48594414
1,CPV,2018,0,0.26088349
1,CPV,2019,0,0.73260536
1,CPV,2020,0,1.00451313
1,CUX,2018,0,2.01722132
1,CUX,2019,0,2.07936417
1,CUX,2020,0,2.12595211
1,FXS,2018,0,-0.05740095
1,FXS,2019,0,-0.24817073
1,FXS,2020,0,-0.49872414
1,GDP,2018,0,1.08895031
1,GDP,2019,0,1.10807177
1,GDP,2020,0,1.02198537
1,GDPD,2018,0,1.14325614
1,GDPD,2019,0,-0.07247798
1,GDPD,2020,0,-0.07823759
1,GDPGAP,2018,0,1.00216469
1,GDPGAP,2019,0,1.02622829
1,GDPGAP,2020,0,0.97432965
1,GDPPOT,2018,0,0.11006555
1,GDPPOT,2019,0,0.09584468
1,GDPPOT,2020,0,0.01621334
1,GDPV,2018,0,1.1580873
1,GDPV,2019,0,1.39308719
1,GDPV,2020,0,1.59904339
1,IFP,2018,0,-0.12802678
1,IFP,2019,0,-0.65655151
1,IFP,2020,0,-1.25230883
1,IFPV,2018,0,0.14571566
1,IFPV,2019,0,-0.09370515
1,IFPV,2020,0,-0.3983547
1,IG,2018,0,20.10857541
1,IG,2019,0,19.52490605
1,IG,2020,0,18.04601491
1,IGV,2018,0,20.4028682
1,IGV,2019,0,20.1972728
1,IGV,2020,0,19.12554536
1,IHP,2018,0,0.19521047
1,IHP,2019,0,0.4215862
1,IHP,2020,0,0.41315379
1,IHPV,2018,0,0.20947952
1,IHPV,2019,0,0.66247235
1,IHPV,2020,0,0.97200151
1,KFP,2018,0,-0.007521
1,KFP,2019,0,-0.05718433
1,KFP,2020,0,-0.17323494
1,KG,2018,0,0.45861917
1,KG,2019,0,1.16995217
1,KG,2020,0,1.82347975
1,KHP,2018,0,0.00510102
1,KHP,2019,0,0.02327074
1,KHP,2020,0,0.04452439
1,LE,2018,0,0.22054631
1,LE,2019,0,0.23251059
1,LE,2020,0,0.17020536
1,LF,2018,0,0.18674129
1,LF,2019,0,0.18608446
1,LF,2020,0,0.1218323
1,LH,2018,0,0.29596397
1,LH,2019,0,0.2985887
1,LH,2020,0,0.25277434
1,M2CD,2018,0,0.70314295
1,M2CD,2019,0,0.58881819
1,M2CD,2020,0,0.75530546
1,MGS,2018,0,0.38193114
1,MGS,2019,0,0.82735962
1,MGS,2020,0,0.85260141
1,MGSV,2018,0,0.35186633
1,MGSV,2019,0,0.72586202
1,MGSV,2020,0,0.69575806
1,NIV,2018,0,1.47391485
1,NIV,2019,0,1.54346047
1,NIV,2020,0,1.45802148
1,PCP,2018,0,0.02241303
1,PCP,2019,0,0.22796149
1,PCP,2020,0,0.51608637
1,PERR,2018,0,-0.70706332
1,PERR,2019,0,-1.67159605
1,PERR,2020,0,-3.28032352
1,PGDP,2018,0,0.06837208
1,PGDP,2019,0,0.28191315
1,PGDP,2020,0,0.57123492
1,PIFP,2018,0,0.27414816
1,PIFP,2019,0,0.56674591
1,PIFP,2020,0,0.86487094
1,PIHP,2018,0,0.01421936
1,PIHP,2019,0,0.23983923
1,PIHP,2020,0,0.55657163
