scenario,variable,year,value_repro,value_paper,diff
2,IGV,2018,20.36848179,20.38,-0.01151821
2,IGV,2019,20.40830806,20.46,-0.05169194
2,IGV,2020,19.21120743,19.32,-0.10879257
2,IHP,2018,0.33378733,0.24,0.09378733
2,IHP,2019,1.21396073,0.54,0.67396073
2,IHP,2020,2.10012918,0.63,1.47012918
2,IHPV,2018,0.35494424,0.26,0.09494424
2,IHPV,2019,1.47737637,0.81,0.66737637
2,IHPV,2020,2.7117495,1.25,1.4617495
2,KFP,2018,0.00367197,0.0,0.00367197
2,KFP,2019,0.02806056,0.03,-0.00193944
2,KFP,2020,0.056849,0.06,-0.003151
2,KG,2018,0.44078529,0.44,0.00078529
2,KG,2019,1.12308653,1.12,0.00308653
2,KG,2020,1.75073297,1.75,0.00073297
2,KHP,2018,0.0078225,0.01,-0.0021775
2,KHP,2019,0.05123346,0.03,0.02123346
2,KHP,2020,0.13686965,0.06,0.07686965
2,LE,2018,0.2597192,0.25,0.0097192
2,LE,2019,0.3675897,0.31,0.0575897
2,LE,2020,0.42509029,0.32,0.10509029
2,LF,2018,0.22544902,0.21,0.01544902
2,LF,2019,0.31593032,0.26,0.05593032
2,LF,2020,0.36731043,0.27,0.09731043
2,LH,2018,0.23917867,0.3,-0.06082133
2,LH,2019,0.1437126,0.34,-0.1962874
2,LH,2020,0.06303665,0.33,-0.26696335
2,M2CD,2018,1.15799718,1.16,-0.00200282
2,M2CD,2019,1.60956469,1.61,-0.00043531
2,M2CD,2020,2.0774864,2.07,0.0074864
2,MGS,2018,0.43947241,0.38,0.05947241
2,MGS,2019,1.00765625,0.84,0.16765625
2,MGS,2020,1.21941569,0.97,0.24941569
2,MGSV,2018,0.43520745,0.38,0.05520745
2,MGSV,2019,1.01218521,0.86,0.15218521
2,MGSV,2020,1.24608968,1.06,0.18608968
2,NIV,2018,1.53204398,1.54,-0.00795602
2,NIV,2019,1.9103099,1.9,0.0103099
2,NIV,2020,2.24210558,2.19,0.05210558
2,PCP,2018,0.02908103,0.03,-0.00091897
2,PCP,2019,0.24617307,0.25,-0.00382693
2,PCP,2020,0.55575841,0.57,-0.01424159
2,PERR,2018,-0.50273352,-0.49,-0.01273352
2,PERR,2019,-0.93908942,-0.89,-0.04908942
2,PERR,2020,-1.72696462,-1.58,-0.14696462
2,PGDP,2018,0.10048841,0.1,0.00048841
2,PGDP,2019,0.34595347,0.34,0.00595347
2,PGDP,2020,0.67091762,0.65,0.02091762
2,PIFP,2018,0.27009057,0.28,-0.00990943
2,PIFP,2019,0.55637038,0.6,-0.04362962
2,PIFP,2020,0.85199582,0.95,-0.09800418
2,PIHP,2018,0.02103035,0.02,0.00103035
2,PIHP,2019,0.25999054,0.27,-0.01000946
2,PIHP,2020,0.59883432,0.62,-0.02116568
2,PLAND,2018,0.04044767,0.0,0.04044767
2,PLAND,2019,0.16101896,-0.01,0.17101896
2,PLAND,2020,0.30431601,-0.02,0.32431601
2,PMGS,2018,-0.00423613,0.0,-0.00423613
2,PMGS,2019,0.00448072,0.02,-0.01551928
2,PMGS,2020,0.02635009,0.09,-0.06364991
2,PSHARE,2018,0.22555153,0.23,-0.00444847
2,PSHARE,2019,0.30374236,0.3,0.00374236
2,PSHARE,2020,0.38662306,0.38,0.00662306
2,PXGS,2018,0.00562123,0.0,0.00562123
2,PXGS,2019,0.05101293,0.01,0.04101293
