scenario,variable,year,quarter,value
1,FXS,2020,3,-0.52373297
1,FXS,2020,4,-0.5873492
1,PSHARE,2018,1,-0.06108442
1,PSHARE,2018,2,-0.58360605
1,PSHARE,2018,3,-1.37039282
1,PSHARE,2018,4,-2.36906723
1,PSHARE,2019,1,-3.3982226
1,PSHARE,2019,2,-4.2456578
1,PSHARE,2019,3,-4.97467459
1,PSHARE,2019,4,-5.54028282
1,PSHARE,2020,1,-5.93828145
1,PSHARE,2020,2,-6.20030119
1,PSHARE,2020,3,-6.35494086
1,PSHARE,2020,4,-6.45170827
1,PLAND,2018,1,-0.00083298
1,PLAND,2018,2,0.02807802
1,PLAND,2018,3,0.05652788
1,PLAND,2018,4,0.0951008
1,PLAND,2019,1,0.13995947
1,PLAND,2019,2,0.19113529
1,PLAND,2019,3,0.24835286
1,PLAND,2019,4,0.30975348
1,PLAND,2020,1,0.37506721
1,PLAND,2020,2,0.44320881
1,PLAND,2020,3,0.51225545
1,PLAND,2020,4,0.58226834
1,M2CD,2018,1,0.75965346
1,M2CD,2018,2,0.70035435
1,M2CD,2018,3,0.68468565
1,M2CD,2018,4,0.60575509
1,M2CD,2019,1,0.58592746
1,M2CD,2019,2,0.57904992
1,M2CD,2019,3,0.58747781
1,M2CD,2019,4,0.62758524
1,M2CD,2020,1,0.68798535
1,M2CD,2020,2,0.75326391
1,M2CD,2020,3,0.83739909
1,M2CD,2020,4,0.90043432
1,BGVATGDPV,2018,1,-0.58997777
1,BGVATGDPV,2018,2,-0.54049546
1,BGVATGDPV,2018,3,-0.43261006
1,BGVATGDPV,2018,4,-0.39074599
1,BGVATGDPV,2019,1,-0.31276222
1,BGVATGDPV,2019,2,-0.37727137
1,BGVATGDPV,2019,3,-0.36212184
1,BGVATGDPV,2019,4,-0.3942247
1,BGVATGDPV,2020,1,-0.37015119
1,BGVATGDPV,2020,2,-0.28096172
1,BGVATGDPV,2020,3,-0.27518927
1,BGVATGDPV,2020,4,-0.31057509
1,SBGVATGDPV,2018,1,-2.228386
1,SBGVATGDPV,2018,2,-2.26850345
1,SBGVATGDPV,2018,3,-2.43303337
1,SBGVATGDPV,2018,4,-2.48617179
1,SBGVATGDPV,2019,1,-2.52094126
1,SBGVATGDPV,2019,2,-2.57610568
1,SBGVATGDPV,2019,3,-2.59712509
1,SBGVATGDPV,2019,4,-2.6872504
1,SBGVATGDPV,2020,1,-2.6889971
1,SBGVATGDPV,2020,2,-3.08917178
1,SBGVATGDPV,2020,3,-3.07058169
1,SBGVATGDPV,2020,4,-3.10102562
1,BCVATGDPV,2018,1,-0.06438585
1,BCVATGDPV,2018,2,-0.09555304
1,BCVATGDPV,2018,3,-0.15775045
1,BCVATGDPV,2018,4,-0.20953325
1,BCVATGDPV,2019,1,-0.23621607
1,BCVATGDPV,2019,2,-0.2589167
1,BCVATGDPV,2019,3,-0.3127238
1,BCVATGDPV,2019,4,-0.36918004
1,BCVATGDPV,2020,1,-0.40045223
1,BCVATGDPV,2020,2,-0.40725492
1,BCVATGDPV,2020,3,-0.47143373
1,BCVATGDPV,2020,4,-0.48720842
1,KFP,2018,1,-0.00142138
1,KFP,2018,2,-0.00449376
1,KFP,2018,3,-0.00885005
1,KFP,2018,4,-0.01590201
1,KFP,2019,1,-0.02706656
1,KFP,2019,2,-0.04364718
1,KFP,2019,3,-0.06642336
1,KFP,2019,4,-0.09222423
1,KFP,2020,1,-0.12227449
1,KFP,2020,2,-0.15251436
1,KFP,2020,3,-0.18399711
1,KFP,2020,4,-0.21643919
1,KHP,2018,1,0.00130127
1,KHP,2018,2,0.00352961
1,KHP,2018,3,0.00790139
1,KHP,2018,4,0.01498777
1,KHP,2019,1,0.02462144
1,KHP,2019,2,0.03821101
1,KHP,2019,3,0.05467898
1,KHP,2019,4,0.07404912
1,KHP,2020,1,0.09440509
1,KHP,2020,2,0.11668217
1,KHP,2020,3,0.13944723
1,KHP,2020,4,0.16367079
1,KG,2018,1,0.17794333
1,KG,2018,2,0.35491738
1,KG,2018,3,0.52900594
1,KG,2018,4,0.70127449
1,KG,2019,1,0.87210843
1,KG,2019,2,1.04170119
1,KG,2019,3,1.20908351
1,KG,2019,4,1.36945301
1,KG,2020,1,1.52920075
1,KG,2020,2,1.6732865
1,KG,2020,3,1.82417624
1,KG,2020,4,1.97626841
1,BCVATGDPV,2018,0,-0.13180565
1,BCVATGDPV,2019,0,-0.29425915
1,BCVATGDPV,2020,0,-0.44158732
1,BGVATGDPV,2018,0,-0.48845732
1,BGVATGDPV,2019,0,-0.36159503
1,BGVATGDPV,2020,0,-0.30921932
1,CG,2018,0,0.04552166
1,CG,2019,0,0.16296214
1,CG,2020,0,0.27195777
1,CGPI,2018,0,0.04197567
1,CGPI,2019,0,0.1772482
1,CGPI,2020,0,0.34420637
1,CGV,2018,0,0.05239148
1,CGV,2019,0,0.29561035
1,CGV,2020,0,0.63510317
1,CP,2018,0,0.25757393
1,CP,2019,0,0.54983664
1,CP,2020,0,0.55168699
1,CPV,2018,0,0.27945491
1,CPV,2019,0,0.77143761
1,CPV,2020,0,1.04949976
1,CUX,2018,0,2.01389785
1,CUX,2019,0,2.20588023
1,CUX,2020,0,2.35749352
1,FXS,2018,0,-0.05859504
1,FXS,2019,0,-0.2484414
1,FXS,2020,0,-0.49278484
1,GDP,2018,0,1.07946728
1,GDP,2019,0,1.10744839
1,GDP,2020,0,1.06408056
1,GDPD,2018,0,1.13066003
1,GDPD,2019,0,-0.04535327
1,GDPD,2020,0,-0.03079862
1,GDPGAP,2018,0,0.96201322
1,GDPGAP,2019,0,0.96642346
1,GDPGAP,2020,0,0.93265948
1,GDPPOT,2018,0,0.13146886
1,GDPPOT,2019,0,0.14556724
1,GDPPOT,2020,0,0.08991019
1,GDPV,2018,0,1.1733806
1,GDPV,2019,0,1.42723614
1,GDPV,2020,0,1.67405872
1,IFP,2018,0,-0.13169203
1,IFP,2019,0,-0.66061139
1,IFP,2020,0,-1.22504894
1,IFPV,2018,0,0.12520061
1,IFPV,2019,0,-0.1598796
1,IFPV,2020,0,-0.47749166
1,IG,2018,0,20.07625493
1,IG,2019,0,19.73838336
1,IG,2020,0,18.12862915
1,IGV,2018,0,20.35190436
1,IGV,2019,0,20.34244003
1,IGV,2020,0,19.08811047
1,IHP,2018,0,0.30083013
1,IHP,2019,0,1.15556212
1,IHP,2020,0,1.95264492
1,IHPV,2018,0,0.31269176
1,IHPV,2019,0,1.38592945
1,IHPV,2020,0,2.48976955
1,KFP,2018,0,-0.0076668
1,KFP,2019,0,-0.05734033
1,KFP,2020,0,-0.16880629
1,KG,2018,0,0.44078529
1,KG,2019,0,1.12308653
1,KG,2020,0,1.75073297
1,KHP,2018,0,0.00693001
1,KHP,2019,0,0.04789014
1,KHP,2020,0,0.12855132
1,LE,2018,0,0.25603093
1,LE,2019,0,0.31703581
1,LE,2020,0,0.29492017
1,LF,2018,0,0.22264885
1,LF,2019,0,0.26962263
1,LF,2020,0,0.24360516
1,LH,2018,0,0.23216211
1,LH,2019,0,0.1148533
1,LH,2020,0,0.03100624
1,M2CD,2018,0,0.68761214
1,M2CD,2019,0,0.59501011
1,M2CD,2020,0,0.79477067
1,MGS,2018,0,0.45570395
1,MGS,2019,0,1.0296992
1,MGS,2020,0,1.11617652
1,MGSV,2018,0,0.42365324
1,MGSV,2019,0,0.92482007
1,MGSV,2020,0,0.94568102
1,NIV,2018,0,1.47080099
1,NIV,2019,0,1.5878528
1,NIV,2020,0,1.55154976
1,PCP,2018,0,0.02178015
1,PCP,2019,0,0.22037416
1,PCP,2020,0,0.49509745
1,PERR,2018,0,-0.74355284
1,PERR,2019,0,-1.91207337
1,PERR,2020,0,-3.50892928
1,PGDP,2018,0,0.09288913
1,PGDP,2019,0,0.31629972
1,PGDP,2020,0,0.60356057
1,PIFP,2018,0,0.25728011
1,PIFP,2019,0,0.50420981
1,PIFP,2020,0,0.7568963
1,PIHP,2018,0,0.01178121
1,PIHP,2019,0,0.22750206
1,PIHP,2020,0,0.52669423
1,PLAND,2018,0,0.04471843
1,PLAND,2019,0,0.22230028
1,PLAND,2020,0,0.47819995
1,PMGS,2018,0,-0.03184564
1,PMGS,2019,0,-0.10379816
1,PMGS,2020,0,-0.16861506
1,PSHARE,2018,0,-1.09603763
1,PSHARE,2019,0,-4.53970945
1,PSHARE,2020,0,-6.23630794
1,PXGS,2018,0,-0.01938319
1,PXGS,2019,0,-0.05624124
1,PXGS,2020,0,-0.06866145
1,RCD,2018,0,0.12031788
1,RCD,2019,0,0.23053105
1,RCD,2020,0,0.25805533
1,RGB,2018,0,0.05646334
1,RGB,2019,0,0.10586115
1,RGB,2020,0,0.12833831
1,SBGVATGDPV,2018,0,-2.35402365
1,SBGVATGDPV,2019,0,-2.59535561
1,SBGVATGDPV,2020,0,-2.98744405
1,TAXV,2018,0,1.06060436
1,TAXV,2019,0,2.01911217
1,TAXV,2020,0,2.06415243
