scenario,variable,year,quarter,value
1,TYPV,2019,1,1.7667351196689385
1,TYPV,2019,2,1.8472967166135446
1,TYPV,2019,3,1.8871880887619596
1,TYPV,2019,4,1.885657705252619
1,TYPV,2020,1,1.9074201841541072
1,TYPV,2020,2,1.845048975505148
1,TYPV,2020,3,1.8862906336696517
1,TYPV,2020,4,1.9145099880893302
1,TYCV,2018,1,0.1556475474254304
1,TYCV,2018,2,1.4154508238655827
1,TYCV,2018,3,2.423395053303401
1,TYCV,2018,4,3.446398673357831
1,TYCV,2019,1,4.447375648207541
1,TYCV,2019,2,4.218394916432677
1,TYCV,2019,3,4.194035263336615
1,TYCV,2019,4,4.0758487313985015
1,TYCV,2020,1,4.048372710959125
1,TYCV,2020,2,3.7596923415488925
1,TYCV,2020,3,3.7630453612018444
1,TYCV,2020,4,3.690963347746812
1,TCIV,2018,1,0.9597891138152681
1,TCIV,2018,2,1.0573552238484663
1,TCIV,2018,3,1.2009522281422047
1,TCIV,2018,4,1.2648299636277338
1,TCIV,2019,1,1.319703422242724
1,TCIV,2019,2,1.3719154438193382
1,TCIV,2019,3,1.4025518974533524
1,TCIV,2019,4,1.4376696672457001
1,TCIV,2020,1,1.4713360673158649
1,TCIV,2020,2,1.4860724007092152
1,TCIV,2020,3,1.5518268534409074
1,TCIV,2020,4,1.6278569837408607
1,WIPH,2018,1,0.4254460938398985
1,WIPH,2018,2,0.5351021306710502
1,WIPH,2018,3,0.6095150516914893
1,WIPH,2018,4,0.7185964089745145
1,WIPH,2019,1,0.7362705699643257
1,WIPH,2019,2,0.7746744502301395
1,WIPH,2019,3,0.7888564811014964
1,WIPH,2019,4,0.8361745372846174
1,WIPH,2020,1,0.8749423707294923
1,WIPH,2020,2,0.8879096060290248
1,WIPH,2020,3,0.9304916685507703
1,WIPH,2020,4,0.9839408557474894
1,LE,2018,1,0.1816945614444787
1,LE,2018,2,0.23425573665920574
1,LE,2018,3,0.2808592610398897
1,LE,2018,4,0.3204060230458827
1,LE,2019,1,0.31132082753924095
1,LE,2019,2,0.30836316278293197
1,LE,2019,3,0.2872241667529529
1,LE,2019,4,0.2829343602571699
1,LE,2020,1,0.27186751593502034
1,LE,2020,2,0.2561305479038767
1,LE,2020,3,0.24351511877975796
1,LE,2020,4,0.23088952510166294
1,LF,2018,1,0.1610567660815354
1,LF,2018,2,0.20349603183373866
1,LF,2018,3,0.24342117380462547
1,LF,2018,4,0.28001113464386496
1,LF,2019,1,0.26959829031523164
1,LF,2019,2,0.2651588114993553
1,LF,2019,3,0.24393812603356047
1,LF,2019,4,0.23915615617067232
1,LF,2020,1,0.2281158386315596
1,LF,2020,2,0.21135580435887036
1,LF,2020,3,0.19829338240080485
1,LF,2020,4,0.18541723024372292
1,LH,2018,1,0.26457047714283366
1,LH,2018,2,0.28700764520752653
1,LH,2018,3,0.31087251924821757
1,LH,2018,4,0.319465326262236
1,LH,2019,1,0.3123967653272164
1,LH,2019,2,0.31168805704768765
1,LH,2019,3,0.29852775659806596
1,LH,2019,4,0.28765675268231927
1,LH,2020,1,0.28257061995649035
1,LH,2020,2,0.24400549984002762
1,LH,2020,3,0.26215042794868193
1,LH,2020,4,0.2730672241057164
1,UR,2018,1,-0.02004786860217722
1,UR,2018,2,-0.029927856305893563
1,UR,2018,3,-0.036478659296712124
1,UR,2018,4,-0.039322427692630946
1,UR,2019,1,-0.04057092633386361
1,UR,2019,2,-0.04202522907108941
1,UR,2019,3,-0.04225480788619107
1,UR,2019,4,-0.04266923212582441
1,UR,2020,1,-0.04255411044267454
1,UR,2020,2,-0.043425177359786016
1,UR,2020,3,-0.04385042433660713
1,UR,2020,4,-0.044013415236854314
1,CUX,2018,1,1.8685839186031616
1,CUX,2018,2,1.896776459944105
1,CUX,2018,3,1.9999720468118376
1,CUX,2018,4,1.9089427499606737
1,CUX,2019,1,1.9291033429709836
1,CUX,2019,2,1.9220282352730766
1,CUX,2019,3,1.9006043303802844
1,CUX,2019,4,1.8999469156174564
1,CUX,2020,1,1.9063451947372023
1,CUX,2020,2,1.981235589449426
1,CUX,2020,3,1.9975034948733539
1,CUX,2020,4,1.9862848825483725
1,GDPPOT,2018,1,0.09619058509946488
1,GDPPOT,2018,2,0.12095402971554758
1,GDPPOT,2018,3,0.14354192649224107
1,GDPPOT,2018,4,0.1636204251592499
1,GDPPOT,2019,1,0.15457143654475924
1,GDPPOT,2019,2,0.14742972223105166
1,GDPPOT,2019,3,0.12810843095978353
1,GDPPOT,2019,4,0.11613141767461421
1,GDPPOT,2020,1,0.09923626603220992
1,GDPPOT,2020,2,0.0772480272889009
1,GDPPOT,2020,3,0.0574335136508175
1,GDPPOT,2020,4,0.037269720247401494
1,GDPGAP,2018,1,0.9217644013023287
1,GDPGAP,2018,2,0.9522286483200046
1,GDPGAP,2018,3,1.0024808875767923
1,GDPGAP,2018,4,0.9694995951099967
1,GDPGAP,2019,1,0.9775324972374959
1,GDPGAP,2019,2,0.9787613566366553
1,GDPGAP,2019,3,0.9608851248474568
1,GDPGAP,2019,4,0.9242106123134698
1,GDPGAP,2020,1,0.9288913219327487
1,GDPGAP,2020,2,0.866780067997027
1,GDPGAP,2020,3,0.9271167062248828
1,GDPGAP,2020,4,0.9422064311747709
1,RCD,2018,1,0.06615562354029242
1,RCD,2018,2,0.10094401778427328
1,RCD,2018,3,0.138384855984935
1,RCD,2018,4,0.17514668944376122
1,RCD,2019,1,0.20296502069835898
1,RCD,2019,2,0.2251942095835946
1,RCD,2019,3,0.23730340775614597
1,RCD,2019,4,0.24621197009469273
1,RCD,2020,1,0.25146308647265914
1,RCD,2020,2,0.2510082030604871
1,RCD,2020,3,0.25346212997506223
1,RCD,2020,4,0.25570111944019036
1,RGB,2018,1,0.03374664515836759
1,RGB,2018,2,0.04728276104095755
1,RGB,2018,3,0.06407124017572174
1,RGB,2018,4,0.0804039844425091
1,RGB,2019,1,0.0925364319092577
1,RGB,2019,2,0.10276884659174046
1,RGB,2019,3,0.10869070530394791
1,RGB,2019,4,0.11441852938430383
