scenario,variable,year,value_repro,value_paper,diff
2,TAXV,2019,2.43065533,2.5,-0.06934467
2,TAXV,2020,3.03720356,3.02,0.01720356
2,TCIV,2018,1.13479116,1.15,-0.01520884
2,TCIV,2019,1.53456286,1.56,-0.02543714
2,TCIV,2020,1.87422513,1.89,-0.01577487
2,TYCV,2018,1.9671079,2.03,-0.0628921
2,TYCV,2019,5.09393136,5.31,-0.21606864
2,TYCV,2020,6.48812383,6.34,0.14812383
2,TYPV,2018,1.2089751,1.2,0.0089751
2,TYPV,2019,1.94120393,1.97,-0.02879607
2,TYPV,2020,2.24851842,2.28,-0.03148158
2,UCC,2018,-1.23895469,-1.08,-0.15895469
2,UCC,2019,-1.83715928,-1.66,-0.17715928
2,UCC,2020,-2.05121361,-1.94,-0.11121361
2,UR,2018,-0.03380006,-0.03,-0.00380006
2,UR,2019,-0.04961672,-0.04,-0.00961672
2,UR,2020,-0.05395842,-0.05,-0.00395842
2,WIPH,2018,0.49741308,0.56,-0.06258692
2,WIPH,2019,0.75393639,0.84,-0.08606361
2,WIPH,2020,1.09786912,1.19,-0.09213088
2,XGS,2018,3.047e-05,0.0,3.047e-05
2,XGS,2019,0.00083382,0.0,0.00083382
2,XGS,2020,0.00415297,0.0,0.00415297
2,XGSV,2018,0.00163857,0.0,0.00163857
2,XGSV,2019,0.01014566,0.01,0.00014566
2,XGSV,2020,0.02857173,0.03,-0.00142827
2,YCV,2018,4.3104296,4.37,-0.0595704
2,YCV,2019,4.78614948,4.83,-0.04385052
2,YCV,2020,6.12568685,7.0,-0.87431315
2,YDV,2018,0.87258086,0.91,-0.03741914
2,YDV,2019,1.21582832,1.27,-0.05417168
2,YDV,2020,1.48095612,1.53,-0.04904388
2,YWV,2018,0.97675334,1.05,-0.07324666
2,YWV,2019,1.3107433,1.42,-0.1092567
2,YWV,2020,1.63195429,1.76,-0.12804571
3,BCVATGDPV,2018,-0.11435536,-0.11,-0.00435536
3,BCVATGDPV,2019,-0.25173993,-0.25,-0.00173993
3,BCVATGDPV,2020,-0.39695332,-0.38,-0.01695332
3,BGVATGDPV,2018,-0.45528082,-0.46,0.00471918
3,BGVATGDPV,2019,-0.32600732,-0.32,-0.00600732
3,BGVATGDPV,2020,-0.35757282,-0.26,-0.09757282
3,CG,2018,0.04631646,0.04,0.00631646
3,CG,2019,0.16362647,0.15,0.01362647
3,CG,2020,0.27099949,0.25,0.02099949
3,CGPI,2018,0.04393075,0.04,0.00393075
3,CGPI,2019,0.18310853,0.16,0.02310853
3,CGPI,2020,0.34956511,0.31,0.03956511
3,CGV,2018,0.05313695,0.05,0.00313695
3,CGV,2019,0.29707282,0.27,0.02707282
3,CGV,2020,0.63669666,0.58,0.05669666
3,CP,2018,0.23691967,0.24,-0.00308033
3,CP,2019,0.49175732,0.51,-0.01824268
3,CP,2020,0.46195253,0.49,-0.02804747
3,CPV,2018,0.25939651,0.26,-0.00060349
3,CPV,2019,0.71812928,0.73,-0.01187072
3,CPV,2020,0.9687729,0.98,-0.0112271
3,CUX,2018,1.99164544,1.93,0.06164544
3,CUX,2019,2.00810087,1.89,0.11810087
3,CUX,2020,2.0055053,1.7,0.3055053
3,FXS,2018,-0.05701642,-0.06,0.00298358
3,FXS,2019,-0.24433304,-0.24,-0.00433304
3,FXS,2020,-0.48613423,-0.47,-0.01613423
3,GDP,2018,1.07538806,1.05,0.02538806
3,GDP,2019,1.0696637,1.04,0.0296637
3,GDP,2020,0.95885466,0.95,0.00885466
3,GDPD,2018,1.11691996,1.09,0.02691996
3,GDPD,2019,-0.0961928,-0.08,-0.0161928
3,GDPD,2020,-0.09605244,-0.08,-0.01605244
3,GDPGAP,2018,0.98960803,0.93,0.05960803
3,GDPGAP,2019,0.99141924,0.93,0.06141924
3,GDPGAP,2020,0.91873751,0.88,0.03873751
3,GDPPOT,2018,0.10879849,0.12,-0.01120151
3,GDPPOT,2019,0.09190213,0.11,-0.01809787
3,GDPPOT,2020,0.0104498,0.04,-0.0295502
3,GDPV,2018,1.14384779,1.14,0.00384779
3,GDPV,2019,1.34986804,1.35,-0.00013196
3,GDPV,2020,1.5205896,1.52,0.0005896
3,IFP,2018,-0.12704557,-0.12,-0.00704557
3,IFP,2019,-0.64734745,-0.62,-0.02734745
3,IFP,2020,-1.21978035,-1.16,-0.05978035
3,IFPV,2018,0.1439515,0.13,0.0139515
3,IFPV,2019,-0.09685932,-0.1,0.00314068
3,IFPV,2020,-0.39406548,-0.37,-0.02406548
3,IG,2018,19.84843985,19.41,0.43843985
3,IG,2019,18.84613544,18.59,0.25613544
3,IG,2020,16.9966355,16.67,0.3266355
3,IGV,2018,20.13905824,19.69,0.44905824
3,IGV,2019,19.50064569,19.22,0.28064569
3,IGV,2020,18.03290346,17.67,0.36290346
3,IHP,2018,0.19352456,0.2,-0.00647544
3,IHP,2019,0.41206058,0.42,-0.00793942
3,IHP,2020,0.39308449,0.41,-0.01691551
3,IHPV,2018,0.20787283,0.21,-0.00212717
3,IHPV,2019,0.65029676,0.65,0.00029676
3,IHPV,2020,0.93952235,0.93,0.00952235
3,KFP,2018,-0.00747677,-0.01,0.00252323
3,KFP,2019,-0.05652485,-0.05,-0.00652485
3,KFP,2020,-0.17000885,-0.16,-0.01000885
3,KG,2018,0.45464598,0.43,0.02464598
3,KG,2019,1.14655808,1.08,0.06655808
3,KG,2020,1.76544098,1.66,0.10544098
3,KHP,2018,0.00506853,0.0,0.00506853
3,KHP,2019,0.02290975,0.02,0.00290975
3,KHP,2020,0.04334772,0.04,0.00334772
3,LE,2018,0.21805505,0.23,-0.01194495
3,LE,2019,0.22431903,0.25,-0.02568097
3,LE,2020,0.15650862,0.19,-0.03349138
3,LF,2018,0.18460926,0.2,-0.01539074
3,LF,2019,0.17921873,0.21,-0.03078127
3,LF,2020,0.1105985,0.15,-0.0394015
3,LH,2018,0.29229798,0.28,0.01229798
3,LH,2019,0.28831755,0.28,0.00831755
3,LH,2020,0.23705969,0.25,-0.01294031
3,M2CD,2018,0.69358458,0.68,0.01358458
3,M2CD,2019,0.56609437,0.57,-0.00390563
3,M2CD,2020,0.71674985,0.72,-0.00325015
3,MGS,2018,0.37919843,0.38,-0.00080157
3,MGS,2019,0.8083477,0.83,-0.0216523
3,MGS,2020,0.81268783,0.85,-0.03731217
3,MGSV,2018,0.3493449,0.36,-0.0106551
3,MGSV,2019,0.70837827,0.74,-0.03162173
3,MGSV,2020,0.65887705,0.71,-0.05112295
3,NIV,2018,1.45532559,1.43,0.02532559
3,NIV,2019,1.48980767,1.5,-0.01019233
3,NIV,2020,1.36557172,1.4,-0.03442828
3,PCP,2018,0.02238316,0.02,0.00238316
3,PCP,2019,0.22525484,0.22,0.00525484
3,PCP,2020,0.50451573,0.48,0.02451573
3,PERR,2018,-0.7016993,-0.69,-0.0116993
3,PERR,2019,-1.63507198,-1.69,0.05492802
3,PERR,2020,-3.12908832,-3.06,-0.06908832
3,PGDP,2018,0.06771521,0.09,-0.02228479
3,PGDP,2019,0.27726683,0.3,-0.02273317
3,PGDP,2020,0.5564158,0.56,-0.0035842
3,PIFP,2018,0.27139426,0.25,0.02139426
3,PIFP,2019,0.55424254,0.52,0.03424254
3,PIFP,2020,0.83598681,0.8,0.03598681
3,PIHP,2018,0.01429906,0.01,0.00429906
3,PIHP,2019,0.23722602,0.23,0.00722602
3,PIHP,2020,0.54432264,0.52,0.02432264
3,PLAND,2018,0.00672107,0.01,-0.00327893
3,PLAND,2019,0.09828073,0.1,-0.00171927
3,PLAND,2020,0.30638198,0.29,0.01638198
3,PMGS,2018,-0.02969288,-0.03,0.00030712
3,PMGS,2019,-0.09916144,-0.09,-0.00916144
3,PMGS,2020,-0.15257516,-0.13,-0.02257516
3,PSHARE,2018,-1.07069988,-1.05,-0.02069988
3,PSHARE,2019,-4.502356,-4.31,-0.192356
3,PSHARE,2020,-6.21954588,-5.93,-0.28954588
3,PXGS,2018,-0.0227729,-0.02,-0.0027729
3,PXGS,2019,-0.09764238,-0.09,-0.00764238
3,PXGS,2020,-0.19441007,-0.19,-0.00441007
3,RCD,2018,0.1177427,0.11,0.0077427
3,RCD,2019,0.2299542,0.22,0.0099542
3,RCD,2020,0.2537371,0.24,0.0137371
3,RGB,2018,0.05528309,0.05,0.00528309
3,RGB,2019,0.10563985,0.1,0.00563985
3,RGB,2020,0.12608375,0.12,0.00608375
3,SBGVATGDPV,2018,-2.24174473,-2.3,0.05825527
3,SBGVATGDPV,2019,-2.38523954,-2.47,0.08476046
3,SBGVATGDPV,2020,-2.57673044,-2.73,0.15326956
3,TAXV,2018,1.13743332,1.13,0.00743332
3,TAXV,2019,2.04280144,2.05,-0.00719856
3,TAXV,2020,2.03114081,1.99,0.04114081
3,TCIV,2018,1.08750264,1.09,-0.00249736
3,TCIV,2019,1.32038407,1.33,-0.00961593
3,TCIV,2020,1.44914516,1.47,-0.02085484
3,TYCV,2018,1.82078253,1.84,-0.01921747
3,TYCV,2019,3.99591904,4.04,-0.04408096
3,TYCV,2020,3.56508236,3.32,0.24508236
3,TYPV,2018,1.19588662,1.16,0.03588662
3,TYPV,2019,1.79707327,1.79,0.00707327
3,TYPV,2020,1.81259179,1.85,-0.03740821
3,UCC,2018,-0.54485727,-0.42,-0.12485727
3,UCC,2019,-0.09641097,-0.04,-0.05641097
3,UCC,2020,-0.24404598,-0.31,0.06595402
3,UR,2018,-0.03256432,-0.03,-0.00256432
3,UR,2019,-0.04397009,-0.04,-0.00397009
3,UR,2020,-0.04459485,-0.04,-0.00459485
3,WIPH,2018,0.47634175,0.53,-0.05365825
3,WIPH,2019,0.59815306,0.68,-0.08184694
3,WIPH,2020,0.70870605,0.81,-0.10129395
3,XGS,2018,-0.0006283,0.0,-0.0006283
3,XGS,2019,-0.01080338,-0.01,-0.00080338
3,XGS,2020,-0.04241597,-0.04,-0.00241597
3,XGSV,2018,-0.02340097,-0.02,-0.00340097
3,XGSV,2019,-0.10843372,-0.1,-0.00843372
3,XGSV,2020,-0.23674042,-0.23,-0.00674042
3,YCV,2018,3.70282266,3.64,0.06282266
3,YCV,2019,2.79137991,2.74,0.05137991
3,YCV,2020,2.14253061,2.2,-0.05746939
3,YDV,2018,0.91224695,0.93,-0.01775305
3,YDV,2019,1.15190889,1.19,-0.03809111
3,YDV,2020,1.15857077,1.22,-0.06142923
3,YWV,2018,0.93894644,1.0,-0.06105356
3,YWV,2019,1.05702278,1.15,-0.09297722
3,YWV,2020,1.04738893,1.18,-0.13261107
4,BCVATGDPV,2018,-0.13243376,-0.13,-0.00243376
4,BCVATGDPV,2019,-0.32613635,-0.32,-0.00613635
4,BCVATGDPV,2020,-0.43958189,-0.42,-0.01958189
4,BGVATGDPV,2018,-0.9483719,-0.96,0.0116281
4,BGVATGDPV,2019,-0.86640207,-0.89,0.02359793
4,BGVATGDPV,2020,-0.87071946,-0.86,-0.01071946
4,CG,2018,-0.0,0.0,-0.0
4,CG,2019,0.0,0.0,0.0
4,CG,2020,0.0,0.0,0.0
4,CGPI,2018,0.00469647,0.0,0.00469647
4,CGPI,2019,0.04708154,0.04,0.00708154
4,CGPI,2020,0.11953939,0.1,0.01953939
4,CGV,2018,0.00022393,0.0,0.00022393
4,CGV,2019,0.02440117,0.02,0.00440117
4,CGV,2020,0.09581902,0.08,0.01581902
4,CP,2018,0.59174611,0.58,0.01174611
4,CP,2019,1.12981473,1.12,0.00981473
4,CP,2020,1.19366066,1.2,-0.00633934
4,CPV,2018,0.59325996,0.58,0.01325996
4,CPV,2019,1.17782432,1.16,0.01782432
4,CPV,2020,1.3357342,1.33,0.0057342
4,CUX,2018,0.44610837,0.4,0.04610837
4,CUX,2019,0.70139537,0.6,0.10139537
4,CUX,2020,0.7432242,0.59,0.1532242
4,FXS,2018,-0.00788546,-0.01,0.00211454
4,FXS,2019,-0.05609438,-0.05,-0.00609438
4,FXS,2020,-0.13255088,-0.12,-0.01255088
4,GDP,2018,0.23302572,0.21,0.02302572
4,GDP,2019,0.3659414,0.33,0.0359414
4,GDP,2020,0.34275355,0.32,0.02275355
4,GDPD,2018,0.3427063,0.3,0.0427063
4,GDPD,2019,0.02290662,0.03,-0.00709338
4,GDPD,2020,-0.03734575,-0.03,-0.00734575
4,GDPGAP,2018,0.21948717,0.19,0.02948717
4,GDPGAP,2019,0.34377108,0.3,0.04377108
4,GDPGAP,2020,0.33653296,0.3,0.03653296
