period,GDP,CP,IHP,IFP,INP,CG,IG,ING,BF,XGS,MGS,KAISA,GDPV,CPV,IHPV,IFPV,INPV,CGV,IGV,INGV,BFV,XGSV,MGSV,NFIV,RTRIV,PTRIV,GNIV,PGDP,PCP,PIHP,PIFP,PCG,PIG,PXGS,PMGS,YWV,YWIV,YOLIV,YIGV,YIEV,YINPV,YICV,NIV,TAXNETV,CCAVG,TPIV,TCIV,TCSTV,SUBV,TINCGV,CSSV,TYPV,YDV,BSSV,TYCV,OITAXV,ITAXV,SDV,CCAV,TAXV,YIV,YCV,OTYDV
1999Q1,467337.5,261921.9,25239.8,73232.5,-3512.9,80735.9,48478.1,-88.0,-10893.7,44707.6,55601.3,-7776.1,529063.3,285181.1,23854.4,83194.4,-3543.9,85294.5,46345.7,-75.8,8812.8,50677.6,41864.8,5535.8,10590.2,5054.4,534599.0,1.1320000000000001,1.089,0.945,1.136,1.056,0.956,1.1340000000000001,0.753,270632.2707566028,237405.2372986452,33290.003389904654,-6766.348214285714,34213.24774010367,381.82678571428573,34500.41087149863,372227.3441686699,33814.15128441328,16164.167889626255,39317.51080887523,12957.97230049648,920.254952351148,5463.846428571429,50239.907542150126,49309.70430450611,27193.485278511307,304741.47935292067,60520.353517255426,22625.198083540512,25532.182362482472,39410.4096153301,0.0,128425.19264457148,89229.09297738192,27446.899525817953,39647.7630147505,-18621.613949522492
1999Q2,469194.8,262269.1,26877.8,73817.0,-3777.3,81532.2,47692.4,-7.6,-11523.9,45110.2,56634.0,-7684.9,529019.1,285054.0,25398.0,83338.5,-3852.9,85849.0,45352.2,-5.3,7885.6,51698.6,43812.9,6684.0,10884.6,4200.7,535703.0,1.128,1.087,0.945,1.129,1.053,0.951,1.146,0.774,269164.3201490228,235344.3707291856,33787.89476719931,-6233.441071428571,34146.660345077355,399.88749999999993,38864.146541690876,377895.90322118974,35273.41403974806,16242.057130809813,39408.32963065167,12508.303887740569,884.6474405280356,4066.1125,44400.913385687505,49754.95818363016,25225.663080020448,310302.90896053636,61186.85073872793,19206.716469909312,25960.681802771538,39353.633131040144,0.0,122519.67614777008,83786.0126809699,27913.219273648785,41954.21725682728,-18078.447550332
1999Q3,471673.5,264069.3,27140.0,73391.8,-3443.1,82478.1,46223.9,-9.8,-11020.1,47048.5,58068.6,-7156.6,528593.4,286729.8,25682.1,82693.4,-3378.7,85564.9,43952.6,1.8,7347.4,52189.4,44841.9,6774.8,10639.6,3864.8,535368.2,1.121,1.0859999999999999,0.946,1.127,1.037,0.951,1.109,0.772,269091.61904860794,235041.5718743408,34057.55647078139,-6529.105357142857,32128.139205487034,383.40535714285716,39519.48302573292,378813.2560028992,35433.175622968694,16315.67255581085,39391.31479919683,12811.804169030129,858.8724088547815,3934.6857142857143,45507.6609544383,50070.49066231727,26484.291801046813,308254.4475950485,62052.89595824583,19016.68672450187,25690.39008798084,39361.06666586575,0.0,121128.56304552074,84862.04519141442,25599.033848344177,44603.120080214154,-17982.907179661153
1999Q4,471847.6,264805.2,26009.4,74183.8,-3570.0,82804.0,46008.5,-387.8,-11688.0,48122.8,59810.8,-6317.6,527862.6,286608.4,24526.2,83358.3,-3515.4,85918.0,43678.7,-337.2,7625.6,52769.6,45144.0,7072.6,10815.6,3743.0,534935.2,1.119,1.082,0.943,1.124,1.038,0.9490000000000001,1.097,0.755,269390.0461410581,235503.17205672973,33850.41762626828,-6311.094642857143,32389.024437626,395.99642857142857,39892.04550184383,382577.21583580814,36139.9626018918,16365.63175024315,39520.34591775257,13027.86174813406,863.6453712802418,3332.6000000000004,44025.762118800514,49873.09412345477,25691.79988366072,310791.97775889887,63441.655427607075,18315.8038822904,25642.11961405749,39533.62673347179,0.0,116156.95743071998,83541.2304994229,26077.929794768857,47217.19439813736,-18755.899742120644
2000Q1,479971.2,266405.9,26274.5,76969.7,-1610.0,83857.1,43484.6,179.8,-9121.1,50708.0,59829.1,-6469.4,535133.8,287787.7,24882.6,86691.9,-1606.9,87357.6,41479.4,152.0,8389.7,54638.6,46248.9,6766.7,11220.5,4453.8,541900.6,1.115,1.08,0.9470000000000001,1.126,1.042,0.9540000000000001,1.078,0.773,268918.1548985153,236196.83578984856,32921.363424016636,-6608.492857142856,30273.509092054635,363.6571428571429,40748.28957990866,374162.93608221505,33653.73115836709,16574.854887750244,39539.6788640557,13346.792076471369,847.119885748953,5810.6625,45950.397387062505,48849.52980246875,26341.732667464352,308621.76431428804,61696.344477999475,19581.069907193825,25432.271147502008,39626.18310972233,0.0,133922.04330806265,85548.98568438052,23665.016234911778,40831.475368879284,-17823.27126425691
2000Q2,482132.7,265906.2,26955.2,75878.9,1321.9,84867.1,43191.3,40.0,-9888.1,52331.5,62219.6,-6139.7,535358.7,286349.0,25384.2,84798.8,1202.1,88273.7,41061.0,39.3,8250.5,55494.1,47243.6,8178.2,12027.0,3848.8,543536.8,1.11,1.077,0.9420000000000001,1.1179999999999999,1.04,0.951,1.06,0.759,268793.3263437028,236016.1202867371,32785.159171533334,-6724.228571428572,32392.103777845496,369.82142857142856,37977.16982980813,383732.49879979435,34014.59990369453,16636.402481977097,38370.841690999325,11978.066953090987,856.2271138738398,4345.580357142857,49898.55326287942,49222.04916546662,28956.322257777778,305301.0134438103,61566.44733445352,20876.857079792375,25485.05680704643,38319.35087401126,0.0,125830.63068333716,88152.53021158141,25667.875206416924,51294.127419866505,-17249.662418755237
2000Q3,482246.2,266392.1,26428.4,78476.9,-1031.7,85491.3,42385.7,-47.8,-10673.8,53198.5,63872.3,-5174.9,534440.1,286344.7,24993.3,87439.4,-1154.2,89286.3,40310.0,-35.2,7255.9,56544.4,49288.4,8126.3,12105.6,3979.2,542566.4,1.1079999999999999,1.075,0.946,1.114,1.044,0.951,1.063,0.772,270624.7130138438,237101.8797975237,33514.003526293105,-6543.185714285714,30407.62245080131,348.4267857142857,37381.0649937863,393162.5711443483,33933.34768826657,16690.522025604212,38417.67946471428,12184.522379052652,855.2964806093016,4496.785714285715,48527.683542683306,50639.07408333,28023.90236315347,305244.51476188,62612.36599712047,20505.64230840442,25361.253936900415,38401.07279656237,0.0,115499.54177337507,86930.61746812025,23864.436736515596,61292.356400202596,-17118.2752471884
2000Q4,486946.6,269693.9,26973.0,80839.1,268.1,86040.3,41059.6,-73.5,-13230.1,52968.8,66198.9,-4623.9,537843.4,288795.0,25376.4,89570.0,160.6,89542.7,38835.9,-68.4,5631.4,57597.1,51965.7,8081.7,12471.0,4389.3,545925.1,1.105,1.071,0.941,1.1079999999999999,1.041,0.946,1.087,0.785,271361.48991474736,237873.82137482785,33328.958695111076,-6210.748214285714,30141.250657048473,338.4375,37826.30537987588,391307.4130553625,34823.295390985244,16707.635583472926,38514.91573303218,12499.758057038272,892.8347862073956,3687.323214285714,50906.36272469232,49825.24153464332,30816.746107192743,305143.6033184854,64251.657333586714,19966.53590280247,25138.763107727485,38531.35595097316,0.0,119773.65420795011,89314.63796096836,23930.502442762758,58189.11531797647,-17795.112324936956
2001Q1,490512.0,271247.6,26979.7,81265.8,2148.9,86182.3,43067.7,17.8,-15263.4,51054.1,66317.4,-5134.3,542552.7,290567.4,25325.3,89305.8,1979.7,91120.6,40559.6,24.4,3669.8,56140.3,52470.6,8386.0,12851.5,4465.5,550938.7,1.1059999999999999,1.071,0.9390000000000001,1.099,1.057,0.9420000000000001,1.1,0.7909999999999999,272680.8564361595,237227.390459119,35453.89201948879,-6077.691071428571,30447.841238113135,340.6232142857143,37119.22964217587,393703.0888515514,35032.15345553889,16657.353209517925,38578.794807260456,12607.904572248328,900.6653074082019,3617.5392857142856,52573.02768896849,53369.722761669014,30882.040120093552,303070.950512831,63464.833648404354,21820.701633597182,25087.42762423223,38595.997503888764,0.0,122257.15293027402,91298.7392575795,24370.150166684565,59532.85260653145,-16390.04757025931
2001Q2,486868.2,273499.6,25461.1,79098.7,2335.4,86935.3,40506.1,-213.9,-15718.6,49152.5,64871.0,-5035.6,534253.7,290638.4,23880.4,86292.0,2236.0,91173.3,38104.1,-174.5,2104.0,53952.3,51848.4,8151.3,12379.0,4227.7,542405.0,1.097,1.063,0.938,1.091,1.0490000000000002,0.941,1.0979999999999999,0.799,268443.0045936638,233074.1640893658,35323.537164616086,-5105.032142857143,25154.059378411654,257.6017857142857,37009.88482088981,385420.00067187706,34381.15918715307,16686.621192772724,38490.94910717627,12235.085847827231,914.2055104164189,4098.983928571429,49272.411252278216,51324.46211551625,29818.212715670477,293868.16127318016,64051.8632630879,19221.00415547234,25330.841356924837,38480.13271516849,0.0,122603.85054152587,87519.3495863113,20049.02723555451,59918.08402176895,-19647.97595168627
2001Q3,481574.1,273348.6,25326.6,77644.1,-2165.2,87082.7,40511.7,-243.2,-14883.5,48072.5,62955.9,-5047.6,527026.0,289490.4,23568.4,84252.2,-2097.9,91675.4,37782.4,-211.0,2566.1,52388.7,49822.6,8026.8,12023.7,3996.9,535052.8,1.094,1.0590000000000002,0.9309999999999999,1.085,1.053,0.9329999999999999,1.09,0.7909999999999999,266741.8912721086,230917.06218067475,35815.09127910284,-4312.549999999999,25201.045101182623,253.87857142857146,37773.4051185854,371772.3840486702,33795.91730847033,16713.70526192733,37994.98500453923,12231.634248264718,896.8313198526613,4213.814285714286,48530.905427951286,52492.49821263922,29513.740633440142,292481.79556797276,64797.203080247375,18998.8115286454,24864.33987550033,37992.805443617704,0.0,129501.42479342641,86505.35760570325,20888.495101182623,46368.59255679356,-20025.51015807182
2001Q4,479921.4,272912.4,25452.9,74594.7,-1116.1,88175.2,39542.6,-24.6,-13944.1,47152.2,61096.2,-5671.7,523926.1,287345.0,23601.7,80422.9,-996.2,92347.0,36748.0,-30.7,4488.2,51978.9,47490.7,8479.1,11973.4,3494.3,532405.2,1.092,1.053,0.927,1.078,1.047,0.929,1.102,0.777,260839.83302829717,226325.8382676079,34575.73116804412,-4144.828571428571,24550.938093612753,247.93928571428572,36118.26861729986,369161.6253364862,34003.918731321806,16729.695065040523,38025.965533884424,12215.223617564074,913.4048390912236,4043.051785714286,46446.705511284665,49860.73043328277,27496.732462294975,291703.9642208894,66732.91597225606,18869.6479413563,24899.94431533638,38028.572771991676,0.0,129258.05367723637,84394.95317564295,20406.109522184182,51797.41416870499,-19180.528594998643
